Bias,Category,Keywords,Description,Impact on Decisions,How to Detect,Debiasing Strategy,Example,Severity
Confirmation Bias,information-processing,"confirmation, selective evidence, cherry-picking, disconfirming, preferred option, validation seeking","The tendency to seek, interpret, and remember information that confirms pre-existing beliefs while ignoring contradictory evidence.","Causes decision-makers to build a one-sided case for their preferred option, systematically underweighting evidence against it.",Ask: Have we actively sought evidence AGAINST our preferred option? Are we explaining away contradictory data?,Assign a devil's advocate role. Explicitly seek disconfirming evidence for the leading option. Require equal analysis of all options.,A team evaluating a new market entry only gathers data supporting the opportunity while dismissing negative market signals.,High
Anchoring Effect,information-processing,"anchoring, first impression, initial value, reference point, starting point, adjustment insufficient",Over-weighting the first piece of information encountered (the anchor) and insufficiently adjusting from it when making subsequent judgments.,"First option presented, first number mentioned, or first opinion shared disproportionately influences the final decision.",Ask: Would our evaluation change if we had seen the options in a different order? Is the first proposal dominating the discussion?,Generate evaluation criteria BEFORE seeing any options. Use structured scoring independently before group discussion. Randomize option presentation order.,"A vendor's initial price quote becomes the anchor, and all negotiation revolves around that number rather than true market value.",High
Sunk Cost Fallacy,emotional,"sunk cost, past investment, throwing good money after bad, committed, already spent, waste aversion","Continuing with a failing course of action because of past investment (time, money, effort) rather than evaluating future value.",Prevents abandoning failing options because 'we've already invested too much.' Past costs are irrelevant to future decisions but feel otherwise.,"Ask: If we were starting fresh today with no prior investment, would we still choose this option? Are we justifying continuation by pointing to past spend?",Evaluate each option as if starting fresh today (zero-based evaluation). Separate the past investment discussion from the forward-looking decision.,Continuing to develop a product feature that shows poor user adoption because the team has already spent 6 months building it.,High
Status Quo Bias,emotional,"status quo, default, inertia, change aversion, current state, comfort zone, do nothing","Preferring the current state of affairs simply because it is the current state, even when change would produce better outcomes.",The status quo gets an unfair advantage in evaluation. Change requires a higher burden of proof than maintaining the current approach.,Ask: Are we holding the status quo to the same standard as alternatives? Would we actively choose the current approach if starting from scratch?,Explicitly include status quo as one option evaluated with the same rigor as all alternatives. Calculate the cost of inaction.,"A company continues using an outdated CRM system because switching feels risky, even though the annual cost of inefficiency exceeds migration cost.",Medium
Overconfidence,probability,"overconfidence, calibration, confidence interval, prediction accuracy, too certain, know-it-all, hubris","Overestimating the accuracy of own predictions, knowledge, and judgment. Expressing certainty well beyond what evidence supports.","Leads to too-narrow confidence intervals, insufficient contingency planning, and rejection of ambiguity that should inform the decision.","Ask: What is our confidence level, and what is it based on? Have we been right about similar predictions before? Are our confidence intervals wide enough?",Use pre-mortem to stress-test confidence. Assign explicit confidence levels and track calibration over time. Seek outside perspectives.,"A project manager estimates delivery in 3 months with 90% confidence, despite a track record of similar projects taking 5-7 months.",High
Framing Effect,information-processing,"framing, gain frame, loss frame, presentation, wording, perspective, positive negative, context dependent","Reaching different conclusions from the same information depending on how it is presented — as a gain vs. a loss, as a percentage vs. absolute number.","The way options are framed (gain vs. loss, survival vs. mortality) systematically shifts preferences even when the underlying facts are identical.",Ask: Would our preference change if this were framed differently? Are we reacting to the framing or the substance?,Deliberately reframe the decision both as gains and as losses. Check if the conclusion changes. Present data in multiple formats.,"A treatment described as having a 90% survival rate is preferred over one described as having a 10% mortality rate, though they are identical.",Medium
Availability Heuristic,memory,"availability, vivid, recent, memorable, anecdote, easily recalled, dramatic, salient event","Overweighting information that is easily recalled (vivid, recent, emotionally charged) when estimating probabilities or making judgments.",Recent dramatic events distort probability estimates. A vivid failure story outweighs statistical base rates in our judgment.,Ask: Are we basing this estimate on systematic data or on memorable anecdotes? Is a recent event disproportionately influencing our assessment?,"Use base rates from systematic data rather than anecdotes. Seek statistical evidence. Ask: what does the aggregate data say, not just the vivid examples?","After a highly publicized startup failure, investors become disproportionately risk-averse about an entire sector despite strong aggregate returns.",Medium
Groupthink,social,"groupthink, conformity, consensus, dissent suppressed, harmony, team pressure, unanimity illusion",A group converges on a preferred option without critical evaluation because members prioritize harmony and consensus over honest assessment.,"The group fails to surface dissenting views, alternative options, or risk information. Creates an illusion of unanimity that masks true disagreement.",Ask: Has anyone expressed strong disagreement? Are we reaching consensus suspiciously fast? Are quieter team members actually aligned or just silent?,"Use structured dissent techniques: pre-mortem, red team, anonymous input. Assign a devil's advocate. Create psychological safety for disagreement.",A leadership team unanimously approves an acquisition despite private doubts from several members who feel unable to challenge the CEO's enthusiasm.,High
Planning Fallacy,probability,"planning fallacy, optimistic timeline, underestimate, cost overrun, schedule slip, best case thinking","Systematically underestimating the time, cost, and risk of future actions while overestimating their benefits, even when aware of similar past overruns.",The chosen option appears more attractive than it actually is because its costs and timelines are underestimated. Distorts option comparison.,Ask: Are our estimates based on best-case assumptions? Have similar projects in the past taken longer or cost more than planned?,Use reference class forecasting — compare to actual outcomes of similar past decisions rather than building bottom-up estimates from scratch.,A team estimates a software migration will take 4 months and cost $200K. Similar past migrations averaged 9 months and $500K.,Medium
Loss Aversion,emotional,"loss aversion, risk averse, fear of loss, prospect theory, downside, potential loss weighs more, regret","Weighing potential losses approximately twice as heavily as equivalent gains, leading to excessive risk avoidance and status quo preference.",Decision-makers reject options with positive expected value because the potential downside feels disproportionately painful compared to the upside.,"Ask: Are we avoiding this option primarily because of what we might lose, rather than evaluating the full picture? Would we accept this bet if offered as a gain?",Reframe in terms of opportunity cost — what do we lose by NOT acting? Evaluate gains and losses on the same scale. Consider the cost of inaction.,A company refuses to enter a promising new market because the potential $2M loss looms larger than the expected $5M gain.,Medium
Recency Bias,memory,"recency, recent events, short-term memory, latest data, recent trend, extrapolation, last quarter","Overweighting recent events and trends when evaluating options, while ignoring longer-term base rates and historical patterns.","A recent success or failure with a similar approach disproportionately influences the current decision, regardless of long-term track record.",Ask: Are we extrapolating from the last few data points? Would our assessment change if we looked at 5-10 years of data instead of the last quarter?,"Extend the time horizon of analysis. Look at 5-10 year data, not just the recent period. Explicitly seek base rates across full business cycles.","After two strong quarters, a team extrapolates growth and approves aggressive expansion, ignoring the cyclical nature of their industry.",Medium
Survivorship Bias,information-processing,"survivorship, success stories, invisible failures, selection bias, winners only, survivor, hidden data",Drawing conclusions from successful examples while ignoring failures that followed the same approach but are no longer visible.,Options appear more promising than they are because we only see the winners and not the many failures that used the same strategy.,Ask: Are we only looking at successful cases? Who tried this approach and failed? What happened to the alternatives we aren't seeing?,"Actively seek failed examples of each option under consideration. Ask: who tried this and failed, and why? Analyze the full population, not just survivors.","A team studies 5 successful companies that used a particular strategy, without examining the 50 companies that used the same strategy and went bankrupt.",Medium
