No,Tool,Category,Keywords,Description,When to Use,How to Apply,Data Requirements,Output Format,Strengths,Limitations,Complexity
1,Benchmarking,Comparative,"benchmark, peer, comparison, best-practice, gap-analysis, industry","Compare performance against peers or best-in-class. Identifies gaps and sets realistic targets based on what others achieve.","When measuring relative performance; Setting targets; Identifying improvement areas; Understanding competitive position; Validating assumptions about what is achievable","Identify comparison set (peers, best-in-class, aspirational); Define metrics to compare; Gather data; Calculate gaps; Identify transferable practices","Industry databases; Public financial data; Expert networks; Trade publications; Survey data","Gap analysis table; Performance radar chart; Best practice inventory; Target recommendations","Grounding in reality; External perspective; Objective comparison; Sets achievable targets","Past performance doesnt guarantee future; Apples-to-oranges comparisons; Best practices may not transfer; Data availability varies",Low
2,Root Cause Analysis (5 Whys),Diagnostic,"root-cause, 5-whys, drill-down, causal-chain, underlying, fundamental","Ask 'Why?' repeatedly (typically 5 times) to drill below symptoms to the fundamental root cause. Simple but powerful diagnostic technique.","When something went wrong; Defect investigation; Process failures; When the obvious explanation seems insufficient; Quick causal analysis","State the problem; Ask 'Why does this happen?'; For the answer, ask 'Why?' again; Repeat 5 times or until root cause reached; Verify root cause by testing: if you fix it, does the problem go away?","Observational data; Process knowledge; Incident reports; Expert input","Causal chain diagram; Root cause identification; Verification test proposal","Simple; Fast; Gets below symptoms; No special tools needed; Engages team thinking","Can oversimplify (single causal chain); Depends on who is asking; May miss multiple root causes; Subjective; Not suitable for complex systemic issues",Low
3,Regression Analysis,Statistical,"regression, correlation, prediction, modeling, statistical, relationship, factors","Statistical method to identify relationships between variables and quantify their effects. Distinguishes signal from noise.","When you have numerical data; Need to isolate factor effects; Prediction; Testing if a relationship is real; Quantifying impact of individual variables","Identify dependent variable; Select independent variables; Run regression; Evaluate R-squared, coefficients, significance; Validate with holdout data","Historical numerical data; Sufficient sample size; Independent and dependent variables clearly defined","Coefficient table; R-squared; Prediction equation; Significance levels; Residual plots","Quantitative; Reproducible; Isolates individual effects; Can test statistical significance","Correlation is not causation; Requires good data; Sensitive to outliers; Assumes relationships are stable; Can be misinterpreted",High
4,Scenario Planning,Strategic,"scenario, future, uncertainty, planning, resilience, strategic, foresight","Develop multiple plausible futures to stress-test strategies and decisions. Focuses on structural uncertainties rather than single-point forecasts.","High uncertainty environments; Long-term strategy; When prediction is unreliable; Investment decisions; Policy planning; When stakes are high","Identify key uncertainties (not risks); Build 2x2 from top 2 uncertainties; Name and develop each quadrant narrative; Test strategy under each scenario; Identify robust moves and contingent moves","Industry trends; Expert opinions; Historical analogies; Uncertainty assessment; Stakeholder perspectives","2x2 scenario grid with narratives; Strategy robustness assessment; Contingency triggers; No-regret moves list","Embraces uncertainty; Prepares for multiple futures; Identifies robust strategies; Challenges linear thinking","Scenarios can bias toward comfortable futures; Hard to maintain more than 4; Can become an exercise without action; Probabilities are subjective",Medium
5,Market Sizing (Fermi Estimation),Estimation,"market-size, fermi, top-down, bottom-up, estimation, TAM, SAM, SOM","Estimate unknown quantities by breaking them into smaller, estimable components. Use both top-down and bottom-up approaches and triangulate.","Market entry analysis; Business case building; Quick estimation; When exact data is unavailable; Plausibility checking; Resource planning","Define what you are sizing; Top-down: start from total market, apply successive filters; Bottom-up: estimate unit economics and scale up; Cross-check approaches; Express as range","Population data; Industry reports; Per-capita statistics; Analogous markets; Unit economics","Size estimate with range; Assumption list; Sensitivity to key assumptions; Comparison point (sanity check)","Quick; Can be done with limited data; Forces structured thinking; Reveals key assumptions","Precision is limited; Sensitive to assumptions; Garbage in garbage out; Easy to anchor on round numbers",Medium
6,A/B Testing,Experimental,"experiment, test, hypothesis, control, treatment, statistical-significance, causal","Controlled experiment comparing two variants to determine which performs better. Gold standard for causal inference.","When you can run experiments; Product feature testing; Pricing tests; Marketing message testing; When you need causal (not just correlational) evidence","Define hypothesis; Design control and treatment; Calculate required sample size; Run experiment; Measure outcome; Check statistical significance; Decide","Ability to randomize; Sufficient sample size; Clear outcome metric; Enough time for results","Statistical comparison; Confidence interval; Effect size; Recommendation with confidence level","Causal evidence; Reproducible; Quantitative; Removes opinion from decision","Requires time; May not be ethical/feasible in all cases; External validity questions; Novelty effects; Sample size requirements",Medium
7,Stakeholder Analysis,Qualitative,"stakeholder, influence, interest, alignment, power, politics, mapping","Map stakeholders by their interest in and influence over the decision. Helps anticipate reactions and build coalitions.","Any decision requiring buy-in; Organizational change; Project planning; When politics matter; Before presenting recommendations; Partnership evaluation","List all stakeholders; Rate each on Interest (high/low) and Influence (high/low); Place on 2x2; Develop engagement strategy per quadrant: Manage closely, Keep satisfied, Keep informed, Monitor","Organizational knowledge; Interview data; Relationship maps; Past decision patterns","Stakeholder map (2x2); Engagement strategy table; Coalition plan; Risk mitigation for opponents","Anticipates resistance; Builds coalitions; Practical; Focuses communication effort","Subjective assessments; Dynamic (changes over time); Can feel manipulative if done poorly; May miss informal influence",Low
8,Monte Carlo Simulation,Quantitative,"simulation, probability, distribution, risk, uncertainty, random, range","Run thousands of simulations with random inputs drawn from probability distributions. Produces range of outcomes with probabilities rather than single-point estimates.","Investment analysis under uncertainty; Project planning with variable durations; Risk quantification; When multiple uncertain factors interact; Portfolio analysis","Define model with uncertain inputs; Assign probability distributions to each input; Run 1000-10000 simulations; Analyze output distribution; Report confidence intervals and probabilities","Model structure; Probability distributions for inputs; Correlation assumptions; Computational tool (Excel, Python, R)","Probability distribution of outcomes; Confidence intervals; Sensitivity analysis; Risk profile chart","Captures full range of outcomes; Shows probability of different results; Handles complex interactions; Visual","Requires distributional assumptions; Complex to explain; Can create false precision; Garbage in garbage out; Computational overhead",High
9,Expert Interview / Delphi Method,Qualitative,"expert, interview, delphi, judgment, elicitation, consensus, opinion","Systematically gather and synthesize expert opinions. Delphi method uses multiple rounds with anonymized feedback to build convergence.","When quantitative data is scarce; Novel situations without historical precedent; Need domain expertise; Calibrating assumptions; Understanding complex systems","Identify experts; Prepare structured questions; Conduct interviews (individual or Delphi rounds); Synthesize findings; Look for consensus and divergence; Use to calibrate quantitative models","Access to experts; Well-structured interview guide; Diverse expert panel; Anonymization mechanism (for Delphi)","Interview summary matrix; Consensus/divergence map; Calibrated assumptions; Qualitative insights inventory","Captures tacit knowledge; Handles novel situations; Reduces individual bias (Delphi); Rich qualitative data","Expert availability; Potential groupthink; Authority bias; Time-intensive; Subjectivity in synthesis",Medium
10,Pre-Mortem Analysis,Risk Assessment,"pre-mortem, failure, risk, anticipation, prevention, red-team, devils-advocate","Imagine the project has failed and work backward to identify what went wrong. More effective than asking 'what could go wrong' because it gives psychological permission to be critical.","Before launching a project; Before making a major decision; When team is too optimistic; Risk assessment; When you need to challenge groupthink","Announce 'the project has failed spectacularly'; Ask each person to write (individually) what went wrong; Share and compile all failure reasons; Group into themes; Develop mitigation plans for most likely/impactful failures","Team workshop setting; Project plan; Individual writing time; Facilitation skills","Failure mode inventory; Risk-mitigation action plan; Updated project plan with contingencies; Watch-list of key risks","Powerful psychologically; Surfaces concerns people are reluctant to raise; Practical mitigations; Fast","Best done in groups; Depends on team willingness to engage; Can be depressing if not followed by mitigations; May miss truly novel risks",Low
11,Analogical Reasoning,Creative,"analogy, precedent, similar, parallel, case-study, pattern-matching, transfer","Draw insights from similar situations in different domains. Find patterns that transfer. Powerful when direct data is unavailable.","Novel situations; When entering unfamiliar territory; Innovation; Strategy development; When direct analogies exist in other industries; Enhancing creativity","Identify the core structural features of your problem; Search for analogous situations (same industry, different industry, different era); Map structural similarities; Extract applicable insights; Test for false analogies","Case studies; Industry histories; Cross-domain knowledge; Pattern recognition skills","Analogy comparison matrix; Transferable insights list; Implementation adaptation plan; False analogy risks","Powerful when data is scarce; Cross-pollination of ideas; Helps communicate complex ideas; Accelerates learning from others","False analogies (surface similarity without structural match); Anchoring too heavily on one analogy; Ignoring contextual differences; Cherry-picking favorable analogies",Medium
12,Cost-Benefit Analysis,Evaluation,"cost, benefit, NPV, ROI, economic, trade-off, value, investment","Quantify and compare all costs and benefits of a decision in monetary terms. Includes tangible and intangible factors. Standard framework for investment decisions.","Investment decisions; Policy evaluation; Project approval; Build vs buy decisions; Feature prioritization; Any decision with quantifiable costs and benefits","List all costs (one-time and ongoing); List all benefits (one-time and ongoing); Convert to present value using discount rate; Calculate net benefit; Test sensitivity to key assumptions; Include qualitative factors","Financial data; Market data; Discount rate; Timeline estimates; Probability estimates for uncertain items","Cost-benefit comparison table; NPV calculation; Sensitivity analysis; Recommendation with payback period","Structured; Comparable; Forces quantification; Standard business language","Hard-to-quantify benefits get underweighted; Discount rate choice matters enormously; Can create false precision; Dynamic effects ignored",Medium
