No,Bias,Category,Keywords,Description,Impact on Problem Solving,How to Detect,Debiasing Strategy,Example,Severity
1,Confirmation Bias,Information Processing,"confirmation, cherry-picking, seek-confirming, ignore-disconfirming, selective","Tendency to search for, interpret, and remember information that confirms pre-existing beliefs while ignoring contradictory evidence.","Leads to incomplete analysis; Kills hypothesis testing; Results in overconfident wrong answers; Prevents learning from data","You only look for supporting evidence; You dismiss data that contradicts your view; You feel very certain despite mixed evidence; Your analysis confirms your initial guess","Assign a red team to argue the opposite case; Pre-commit to what evidence would change your mind; Actively seek disconfirming data first; Use structured analysis that forces consideration of alternatives","A team convinced their product is best ignores customer complaints and competitor reviews, focusing only on positive testimonials",Critical
2,Anchoring,Judgment,"anchor, first-impression, starting-point, adjustment, initial-estimate, reference-point","Over-relying on the first piece of information encountered (the anchor) when making judgments, with insufficient adjustment from that anchor.","Initial framing dominates final answer; Market sizing anchored on first number heard; Negotiations anchored by first offer; Estimates cluster around arbitrary starting points","Your estimate is suspiciously close to the first number you saw; You struggle to move far from an initial reference; Different starting points lead to different answers for the same question","Generate your own estimate before seeing others; Use multiple independent starting points; Consider the problem from scratch; Explicitly test extreme values; Use base rates as anchor instead of anecdotes","When asked if a project will cost more or less than $10M, teams tend to estimate near $10M regardless of actual scope. Starting with $1M or $100M would yield very different answers",High
3,Availability Heuristic,Judgment,"availability, recent, vivid, memorable, frequency-estimation, salience","Judging the likelihood of events based on how easily examples come to mind. Recent, vivid, or emotionally charged events seem more probable.","Overweighting recent events in analysis; Misjudging risk (terrorism vs car accidents); Overreacting to vivid failures; Ignoring base rates; Recency bias in trend analysis","Your risk assessment mirrors recent news; You weight vivid anecdotes over statistics; You think something is common because you can easily recall examples","Use base rate statistics rather than examples; Systematically collect data rather than relying on memory; Ask 'what does the data actually show?' not 'what examples can I think of?'; Consult actuarial tables for risk","After a high-profile security breach, company vastly overinvests in security while ignoring the statistically much larger risk of employee turnover",Medium
4,Sunk Cost Fallacy,Decision Making,"sunk-cost, escalation, commitment, invested, cant-stop-now, doubling-down","Continuing a course of action because of previously invested resources (time, money, effort) rather than future value. 'We have come too far to stop now.'","Prevents killing bad projects; Throws good money after bad; Delays pivoting; Makes exit decisions emotional rather than analytical; Escalation of commitment","You justify continuing because of past investment; The phrase 'we have already spent X' comes up; Switching costs are framed as losses not investments; The project wouldnt be approved if starting fresh today","Ask: 'If we were starting from scratch today, would we choose this path?'; Evaluate based only on future costs and benefits; Set pre-commitment kill criteria; Get outside perspective; Frame as new investment decision","A company continues developing a product for 2 more years because theyve already spent $5M, even though market research shows low demand. The $5M is gone regardless.",High
5,Groupthink,Team Dynamics,"groupthink, conformity, consensus, dissent, cohesion, pressure, agreement","Desire for group harmony leads to irrational or dysfunctional decision-making. Dissent is suppressed. The group converges on a comfortable answer.","Kills diverse thinking; Prevents challenge of bad ideas; Creates false confidence; Missed risks; Premature consensus without thorough analysis","Everyone agrees too quickly; No one plays devils advocate; Dissenting voices go quiet; The group pressures outliers; Decision feels unanimous without real debate","Assign a devils advocate role (rotating); Use anonymous input before discussion; Bring in external perspectives; Leader speaks last; Encourage and reward constructive dissent; Pre-mortem exercise","A board unanimously approves an acquisition without anyone raising concerns about integration risks, because the CEO is visibly enthusiastic and no one wants to appear unsupportive",Critical
6,Overconfidence,Judgment,"overconfidence, certainty, calibration, range, prediction, hubris, precision","Systematic overestimation of the accuracy of ones own judgments and predictions. Confidence intervals are too narrow. Experts are often the most overconfident.","Underestimates uncertainty; Narrow confidence intervals; Overcommits to single forecast; Ignores alternative outcomes; Takes excessive risk; Kills contingency planning","Your predictions are precise but often wrong; Your confidence intervals are too narrow; You dismiss low-probability events; You dont update beliefs when evidence contradicts","Use explicit confidence intervals; Track prediction accuracy over time; Widen ranges by default; Use reference class forecasting; Pre-mortem analysis; Assign probabilities and calibrate","An executive predicts revenue of exactly $50M next year with 95% confidence. Historically, their predictions are off by 30%+ half the time. Calibrated range would be $35-65M",High
7,Status Quo Bias,Decision Making,"status-quo, inertia, default, change-aversion, do-nothing, resistance","Preference for the current state of affairs. Change is treated as risky while doing nothing is treated as safe, even when doing nothing carries risk.","Blocks innovation; Prevents necessary changes; Overvalues current approach; Fails to consider opportunity cost of inaction; Default option gets unfair advantage","Doing nothing is framed as safe; Change is scrutinized more than continuation; You cant articulate why the current approach is best; The cost of switching is emphasized but the cost of staying is not","Frame the decision as a new choice (not change vs stay); Quantify the cost of inaction; Ask 'if we werent already doing this, would we start?'; Evaluate all options on equal footing including status quo","A company continues using legacy software because migrating seems risky, while the cost of maintaining the old system exceeds migration costs over 3 years",Medium
8,Framing Effect,Information Processing,"framing, presentation, context, wording, perspective, loss-aversion, reference","Decisions are influenced by how information is presented rather than its objective content. Same data framed as gain vs loss produces different decisions.","How the problem is framed determines which solutions are considered; Loss framing causes risk aversion; Gain framing causes risk seeking; Narrow framing misses options","The same data leads to different conclusions depending on presentation; Stakeholders react differently to identical information framed differently; You havent tried reframing the problem","Deliberately reframe the problem from multiple perspectives; Present data as both gain and loss; Challenge the initial frame; Use absolute numbers alongside percentages; Test multiple framings with different audiences","A product with 95% satisfaction sounds great. The same product with 1 in 20 customers unhappy sounds concerning. Same data, different frame, different reaction",Medium
9,Survivorship Bias,Analysis,"survivorship, selection, hidden-data, missing-data, successful-only, dropout","Drawing conclusions only from visible successes while ignoring the invisible failures. Like studying only successful companies to find success factors.","Overly optimistic conclusions; Missing critical failure factors; Bad strategy from biased sample; Underestimating risk; 'If they can do it so can we' fallacy","Your data only includes survivors/successes; You havent looked at failures; Your conclusion is 'do what successful X did'; You cant explain why some who did the same thing failed","Actively seek data on failures; Ask 'how many tried this and failed?'; Include dropouts/failures in analysis; Use proper control groups; Compare successful and unsuccessful cases side by side","Studying 50 successful startups to find common traits (vision, persistence, risk-taking) without studying the 500 failed startups that had the same traits",High
10,Planning Fallacy,Estimation,"planning, optimism, timeline, budget, underestimate, over-promise, schedule","Systematic tendency to underestimate time, costs, and risks while overestimating benefits. Projects consistently exceed budget and timeline.","Over-promising and under-delivering; Budget overruns; Timeline slippage; Inadequate resource allocation; Unrealistic commitments","Your estimates are consistently too optimistic; You focus on the plan rather than reference class of similar past projects; Best case scenario is treated as base case","Use reference class forecasting (how long did similar projects actually take?); Add systematic buffer (multiply by 1.5-3x); Track actual vs estimated over time; Break into smaller pieces and estimate each; Use pre-mortem to identify what could go wrong","A software project estimated at 6 months and $500K is completed in 14 months at $1.2M. The team cited unique challenges, but this pattern repeats on every project",High
11,Dunning-Kruger Effect,Self Assessment,"dunning-kruger, competence, metacognition, expertise, novice, confidence-gap","People with limited knowledge overestimate their competence, while experts often underestimate theirs. The less you know, the less you know what you dont know.","Novices propose overly simple solutions; Expert caution is dismissed; Team composition misjudges capabilities; Overconfident scoping of unfamiliar work","Juniors are very confident about complex topics; Experts express nuanced uncertainty; People dismiss complexity in domains they havent studied deeply","Seek feedback from genuine experts; Recognize that feeling confident doesnt mean being competent; Value epistemic humility; Test competence with specific non-trivial questions; Red team proposals","A team with no ML experience estimates building a recommendation engine will take 2 weeks. The ML expert estimates 3 months. Leadership trusts the confident estimate",Medium
12,Narrative Fallacy,Interpretation,"narrative, story, pattern, causation, hindsight, explanation, post-hoc","Tendency to create coherent narratives from random events. We see patterns where none exist and create causal stories for coincidences.","Over-interpreting data; Seeing false patterns; Creating causal stories from correlations; Hindsight bias ('it was obvious'); Oversimplifying complex situations","The explanation sounds like a neat story; The narrative ignores contradictory evidence; The causal chain seems inevitable in hindsight; You found one pattern and stopped looking for alternatives","Test causal claims with data; Look for alternative explanations; Be suspicious of neat narratives; Distinguish correlation from causation; Use statistical tests not just stories; Consider base rates","The story of a companys success focuses on the founders vision and pivots, ignoring the role of timing, luck, and market conditions. The same narrative could describe 100 failed companies",Medium
